Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology
drauc,/ˈdrawg/,dracō,draco,/ˈdra.ko:/
dupuil,/ˈdu.bulʲ/,duplus,dupl,/ˈdu.plus/
Ebrae 1,/ˈe.vre/,Hebraeus,hebrae,/he.ˈbre:.us/
ebus\tae,/ˈe.vu.ste/,Iebus,Iebus,/ˈje.bus/
ecenocht,/ˈe.gʲə.nəxt/',aequinoctium,aequinocti,/e:.kwi.ˈnok.ti.um/
eclais,/ˈe.gləʃ/,eclēsia,eclesi,/e.ˈkle:.si.a/
Effraim,/ˈe.frəmʲ/,?,,
Éigept,/ˈe:.ɣʲəpt/,Aegyptus,aegypt,/e:.ˈgip.tus/
éigept\ach\dae,/ˈe:.ɣʲəp.təx.ðe/,aegyptiacus,aegyptiac,/e:.gip.ˈti.a.kus/
eipistil,/ˈe.bʲə.ʃtʲəlʲ/,epistula,epistul,/e.ˈpis.tu.la/
Eli,/ˈe.lʲi/,?,,
elifáint,/ˈe.lʲə.fa:nʲtʲ/,elephantem,elephantem,/e.le.ˈfan.tem/
Eman,/ˈe.ɱən/,?,,
embleisim,/ˈemʲ.bʲlʲə.ʃəm/,embolismus,embolism,/em.bo.ˈlis.mus/
emilén\dae,/ˈe.ɱʲəlʲe:nde/,aemiliānus,aemilian,/e:.mi.li.ˈa:.nus/
Endor,/ˈen.dər/,?,,
ennac,/ˈe.Nəg/,innocuus,innocu,/in.ˈno.ku.us/
Enóc,/ˈe.no:g/,?,,
eol\dae,/ˈewl.de/,Aeolus,Aeol,/ˈe:.o.lus/
eolen\tae,/ˈew.lʲən.te/,aeolēnsis,aeolens,/e:.o.ˈle:n.sis/
epacht,/ˈe.bəxt/,epactae,epact,/e.ˈpak.te:/
Ephes,/ˈe.fʲəs/,Ephesus,Ephes,/ˈe.pe.sus/
epscop,/ˈeb.skəb/,*epscopus,epscop,/ˈeps.ko.pus/
eréc\dae,/ˈe.rʲe:x.ðe/,hērōicus,heroic,/he:.ˈro:.i.kus/
eres,/ˈe.rʲəs/,haeresis,haeres,/he:.ˈre.sis/
eritic,/ˈe.rʲə.dʲəg/,haereticus,haeretic,/he:.ˈre.ti.kus/
esarn,/ˈe.sərn/,exhibernum,exhibern,/eks.hi.ˈber.num
Esau,/e.ˈsaw/,Hesau,Hesau,/ˈhe.saw/
esbicul,/ˈeʃ.bʲə.kul/,scyphulus,,/ˈski.pu.lus/
escmon,/ˈesk.ɱən/,excommūnicātiō,excommunicatio,/eks.kom.mu:.ni.ˈka:.ti.o:/
escop,/ˈe.skəb/,escopus,escop,/es.ˈko.pus/
esparta,/ˈe.spər.tə/,(hōra) vespertīna,vespertin,/wes.per.ˈti:.na/
Éssu,/e:.su/,Esau,Esau,/ˈe.saw/
Ésu,/ˈe:.su/,?,,
Etáil,/ˈe.da:lʲ/,italia,itali,/i.ˈta.li.a/
Ethioip,/ˈe.θʲəbʲ/,Aethiopia,aethiopi,/e:.ti.ˈo.pi.a/
Eufrat\ide,/ˈe.frə.dʲə.ðʲe/,Ephrataeus,Ephratae,/e.ˈfra.te:.us/
exarcist\id,/ˈex.sər.kə.stəðʲ/,exorcistus,exorcist,/ek.ˈsor.kis.tus/
except\aid,/ˈex.skəp.təðʲ/',exceptus,except,/ek.ˈskep.tus/
Ezechial,,?,,
faigen,/ˈfa.ɣʲən/,*uagīna,uagin,/ˈwa.gi:.na/
fáilte,/ˈfa:lʲ.tʲe/,ualentia,ualent,/wa.ˈlen.ti.a/
Farao,/ˈfa.ra.o/,?,,
fátal,/ˈfa:.dəl/,fatāle,fatal,/fa.ˈta:.le/
Febra,/ˈfʲe.vrə/,*febrārius,febrari,/fe.ˈbra:.ri.us/
féil,/ˈfʲe:lʲ/,*ueglia,uegli,/ˈwe.gli.a/
feimen 1,/ˈfʲe.ɱʲən/,fēminīnus,feminin,/fe:.mi.ˈni:.num/
felsub,/ˈfʲel.suv/,philosophus,philosoph,/fi.ˈlo.so.fus/
féróil,/ˈfʲe:.ro:lʲ/,fēriālis,ferial,/fe:.ri.ˈa:.lis/
fers,/ˈfʲers/,uersus,uers,/ˈwer.sus/
fescor,/ˈfʲe.skər/,uesper,uesper,/ˈwes.per/
