'kar.t,/ˈkarʲtʲ/,charta,cairt
'ke.ru.bi:n,/ˈxʲe.ru.fʲi:n/,cherubīn,Cherupín
'ke.ru.bi:n,/i.ru.fʲi:n/,cherubīn,Iruphín
'kris.t,/ˈkʲrist/,Christus,Críst
kris.ti.'a:.n,/ˈkʲrʲe:.ʃən/,christiānus,créisen
'kiŋ.gl,/ˈkʲeŋ.gəl/,*cingla,cengal
'kip.p,/ˈkʲep/,cippus,cepp
'kir.ku.l,/ˈkʲir.kul/,circulus,circul
kir.kum.'flek.s,/ˈkʲir.kunʲ.fʲlʲəxs/,circumflexus,circunflex
'kis.t,/ˈkes/,cista,ces
'klas.s,/ˈklas/,classis,clas 2
'klaw.su.l,/ˈklaw.sul/,clausula,clausul
'kle:.r,/ˈkʲlʲe:r/,clērus,clér
'kle:.ri.k,/ˈkʲlʲe:.rʲəx/,clēricus,cléirech
ko.'ki:.n,/ˈku.gəN/,*cocīna,cucann
kok.'tu:.r,/ˈkux.tər/,coctūra,cuchtar
'ko.hor.t,/ˈku:ərdʲ/,cohortem,cúaird
'kol.ki.,/ˈkol.xi.e/,Colchis,colchiae
'kol.ki.d,/ˈkol.xə.ðʲe/,Colchidem,colche\de
ko.'lum.b,/ˈko.luɱ/,columba,colum
ko.'lum.n,/ˈkol.ve/,columna,–colbae
kom.'mu:.ni.o:,/ˈko.mən/,commūniō,comman
kom.pa.ra:.'ti:.w,/ˈkom.pə.rədʲ/,comparātīuus,comparait
ko:n.'fes.si.o:,/ˈko.vəʃ/,cōnfessiō,cobais
ko:n.'fi.te.or,/ˈku.vʲə.dʲər/,cōnfiteor,cuibiter
ko:n.se.kr,/kon.ˈʃe.kra/,cōnsecrō,con·secra
'ko:n.so.n,/ˈkon.sən/,cōnsonus,consan
ko:ns.tan.ti:.'no.bo.l,/ˈkon.stənʲ.tʲə.nə.bəl/,Cōnstantīnopolis,Constantinopol
'ko:n.sul,/ˈkon.səl/,cōnsul,consal
ko:n.sum.'ma:.ti.o:,/ˈkos.ɱəðʲ/,cōnsummātiō,cosmaid
kon.'ten.ti.o:,/ˈkon.tən/,contentiō,contan
kon.'trak.t,/ˈkon.trəxt/,contractus,contracht
ko.'rin.t,/ˈko.rʲənt/,Corinthus,Corint
kor.'ne:.li.,/ˈkor.nəlʲ/,Cornēlius,Cornil
ko.'ro:.n,/ˈko.rəN/,corōna,corann
'kor.pus,/ˈkorp/,corpus,corp#kor.p?
kre.'bus.ku.l,/ˈkrab.skulʲ/,crepusculum,crapscuil
kre.'ter.r,/ˈkʲrʲe.θʲərʲ/,*creterra,creithir
'kro:.k,/ˈkro:x/,*crōcus,cróch
'kro.ta.l,/ˈkro.θəl/,crotalum,crothal
kro.'ta.li.,/ˈkro.θlə/,crotalia,crothla
'kru.k,/ˈkrox/,crucem,croch
'kruks,/ˈkros/,crux,cros
'ku.b,/ˈku:.vəðʲ/,cubō,cúb\aid
'ku.b,/ˈkuv/,cubus,cyb
ku.'kul.l,/ˈko.xəL/,cucullus,cochall
'kul.ki.t,/ˈkol.kəðʲ/,culcita,colcaid
ku.'li:.n,/ˈku.lʲəN/,culīna,*cuilenn
'kul.tr,/ˈkol.tər/,cultrum,coltar
'ku.me.r,/ˈko.ɱrər/,cumera,comrar
'ku.ra:s.'a.go:,/ˈku:r.sə.ɣəðʲ/,curās agō,cúrsag\aid
'kur.t,/ˈkurʲtʲ/,curtis,cuirt
kur.'ti:.n,/ˈkur.tʲi:.nəð/,curtīna,curtín\ad
'ki.kl,/ˈkʲi.kul/,cyclus,cicul
ki.kla.si.a,/ˈkʲi.glə.ste/,Cyclasias,ciclas\tae
'ki:.r,/ˈkʲer/,Cȳrus,Cer
'ki:.r,/ˈkʲi:r/,Cȳrus,Cír
'dak.ti.l,/ˈdax.təlʲ/,dactylus,dactil
'de:.mon,/ˈdʲe.ɱən/,daemon,demon
'dam.n,/ˈdaɱ.nəð/,damnō,damn\ad
dam.'na:.ti.o:,/ˈda.mənʲ/,damnātiō,dammain
'da.ni.e:l,/ˈda.nʲi.e:l/,Daniēl,Danïél
dar.'da:.n,/ˈdar.da:n.de/,Dardānus,dardán\de
'da:.wi:d,/ˈdaw.iðʲ/,Dāuīd,Dauid
de.'ka:.d,/ˈdʲe.kəðʲ/,decādem,deccaid
de:.'na:.ri.,/ˈdʲi:r.ne/,dīnārius,dírnae
de:.bre.'ka:.ti.o:,/ˈdʲe.bʲrʲə.go:dʲ/,dēprecātiō,deiprecóit
