Latin Stem,Irish Stem,Latin Lemma,Irish Autodate Lemma,Source
he:.'re.s,/ˈe.rʲəs/,haeresis,eres,"Blathmac,Ml."
he:.'re.ti.k,/ˈe.rʲə.dʲəg/,haereticus,eritic,Ml.
eks.hi.'ber.n,/ˈe.sərn/,exhibernum,esarn,McManus/Other
'ski.fu.l,/ˈe.skə.vəl/,scyphulus,escibul,Wb.
eks.kom.mu:.ni.'ka:.ti.o:,/ˈesk.ɱən/,excommūnicātiō,escmon,"Ml.,MG"
wes.per.'ti:.n,/ˈe.spər.tə/,(hōra) uespertīna,esparta,McManus/Other
i.ˈta.li.,/ˈe.da:lʲ/,italia,Etáil,Wb.
e:t.'jo.bi.,/ˈe.tʲəbʲ/,Aethiobia,Ethioip,Ml.
e.'fra.te:.,/ˈe.frə.dʲə.ðʲe/,Ephrataeus,Eufrat\ide,Ml.
ek.ˈsor.kis.t,/ˈek.sər.kə.stəðʲ/,exorcistus,exarcist\id,MG
eks.'kep.t,/ˈek.skəp.təðʲ/',exceptus,except\aid,"Wb.,Sg."
'wa.gi:.n,/ˈfa.ɣʲən/,*uagīna,faigen,McManus/Other
wa.'len.ti.,/ˈfa:lʲ.tʲe/,ualentia,fáilte,"Blathmac,Ml.,MG"
fa.'ta:.le,/ˈfa:.dəl/,fatāle,fátal,McManus/Other
fe.'bra:.ri.,/ˈfʲe.vre/,*febrārius,Febrae,McManus/Other
'we.gli.,/ˈfʲe:lʲ/,*ueglia,féil,"Blathmac,Sg.,MG"
fe:.mi.'ni:.n,/ˈfʲe.ɱʲən/,fēminīnus,feimen 1,Sg.
fi.'lo.so.f,/ˈfʲel.suv/,philosophus,felsub,Wb.
fe:.ri.'a:.l,/ˈfʲe:.ro:lʲ/,fēriālis,féróil,MG
'wer.su,/ˈfʲers/,uersus,fers,"Ml.,Sg.,MG"
'wes.per,/ˈfʲe.skər/,uesper,fescor,"Sg.,MG"
ˈwe.te.rˈle.g,/ˈfʲe.dər.ləgʲ/,(in) uetere lege,fetarlaic,Wb.
fa.e.ˈton.ti.a,/ˈfʲe.tən.tə.ðʲe/,Phaëthontias,Fetont\ide,Sg.
'we:.l,/ˈfʲiəl/,uēlum,fíal 2,"Wb.,Blathmac"
'wi:.k,/ˈfʲi:x/,uīcus,fích,"Sg.,MG"
'fi:.ku.l,/ˈfʲi:.gul.de/,fīcula,fícul\dae,Sg.
wi.'gi.l,/ˈfʲi.ɣʲəL/,uigilia,figell,Blathmac
'fi.gu:.r,/ˈfʲi.ɣər/,figūra,figor,"Ml.,Sg."
'wi:.n,/ˈfʲi:n/,uīnum,fín 1,"Wb.,Blathmac,Ml.,MG"
fir.ma:.'men.t,/ˈfʲirʲ.mʲənʲtʲ/,firmāmentum,firmint,Ml.
'wi:.si.o:,/ˈfʲi:ʃ/,uīsiō,fís,"Wb.,Ml."
'wi:.si.o:,/ˈfʲi:.ʃiw/,uīsiō,físíu,Blathmac
'wi:.tu.l,/ˈfʲi:.θəl/,*uītulus,fíthal,McManus/Other
'wir.tu,/ˈfʲiwrt/,uirtūs,fiurt,"Wb.,Blathmac"
/ˈga.la.t,/ˈga.ləd/,Galatae,Galat,Wb.
ˈgal.l,/ˈgaL/,Gallus,Gall 1,MG
gar.'ga:.n,/ˈgar.ga:n/,Gargānus,Gargán,MG
ˈgen.t,/ˈgʲenʲ.tʲi/,gentēs,geint\i,"Wb.,Ml."
ge.ne.a:.'lo.gi.,/ˈgʲe.nʲə.ləx/,geneālogia,genelach,Wb.
ge.'ni.ti.o:,/ˈgʲe.nʲə.dʲiw/,*genitiō,genitiu,Sg.
'gen.ti.l,/ˈgʲe.nʲ.tʲlʲə.ðʲe/,gentilis,gentl\ide,"Wb.,Ml."
ge.'run.di.,/ˈgʲe.rəndʲ/,gerundium,gerind,"Ml.,Sg."
/gjo:rge/,/gʲurge/,Geōrgius,Giürge,Blathmac
'glan.di.,/ˈgla.nʲe/,glandium,glaine 3,MG
gli.'ke.ri.,/ˈglʲi.ɣʲər.nəd/,Glycerium,gliger\nat,Sg.
