firmament,/fir.ma:.'men.tum/,fir.ma:.'men.t
flect,/fle:k.to:/,fle:k.t
flocc,/'flo:.kus/,'flo:.ku
fragill,/fra.'gil.lum/,fra.'gil.l
fren,/'fre:.num/,'fre:.n
fust,/'fu:s.tis/,'fu:s.t
Galatae,/ˈga.la.te:/,/ˈga.la.t
Galilae,/ga.li:.ˈle:.a/,ga.li:.ˈle:
Gargan,/gar.'ga:.nus/,gar.'ga:.n
genealogi,/ge.ne.a:.'lo.gi.a/,ge.ne.a:.'lo.gi
genitio,/ge.'ni.ti.o:/,ge.'ni.ti.o:
gentil,/'gen.ti.lis/,'gen.ti.l
gerundi,/ge.'run.di.um/,ge.'run.di
glandi,/'glan.di.um/,'glan.di
Glyceri,/gli.'ke.ri.um/,gli.'ke.ri
grad,/gra:.dus/,gra:.d
grammatic,/gram.'ma.ti.ka/,gram.'ma.ti.k
grau,/gra.wis/,gra.w
grec,/'gre:.kus/,'gre:.k
gryph,/'gri:.fus/,'gri:.f
habacuc,/ˈha.ba.kuk/,ˈha.ba.kuk
haben,/ha.'be:.na/,ha.'be:.n
haeres,/he:'re.sis/,he:.'re.s
haeretic,/he:.'re.ti.kus/,he:.'re.ti.k
hebrae,/he.'bre:.us/,he.'bre:
Heriosolym,/he.ri.o.'so.li.ma/,he.ri.o.'so.li.m
herode,/he:.'ro:.de:s/,he:.'ro:.de:
Hesau,/'he.saw/,'he.saw
hieronym,/hi.e.'ro:.ni.mus/,hi.e.'ro:.ni.m
honor,/'ho.nor/,'ho.nor
hor,/'ho:.ra/,'ho:.r
horatian,/ho.ra.ti.'a:.n/,ho.ra.ti.'a:.n
Hosea,/'ho.se.a/,'ho.se.a
iaiuni,/ja:.'ju:.nium/,ja:.'ju:.ni
idol,/i:.'do:.lum/,i:.'do:.l
idone,/i.'do:.ne.us/,i.'do:.ne
Idumae,/i.du.'me:.a/,i.du.'me:
Iebus,/'je.bus/,'je.bus
ienari,/je.'na:.ri.us/,je.'na:.ri
iesu,/'je:.su:s/,'je:.su:
Iesua,/'je.su.a/,'je.su.a
ilic,/'i:.li.kem/,'i:.li.k
ilign,/'i:.liŋ.nus/,'i:.liŋ.n
imago,/i:.'ma:.go:/,i:.'ma:.go:
Inach,/'i.na.kus/,'i.na.k
infinit,/in.fi:.'ni:.tum/,in.fi:.'ni:.t
innocu,/in.'no.ku.us/,in.'no.ku
inscribend,/i:n.skri:.'ben.dum/,i:n.skri:.'ben.d
intellect,/in.tel.'lek.tus/,in.tel.'lek.t
intentio,/in.ten.ti.o:/,in.ten.ti.o:
interiectio,/in.ter.'jek.ti.o:/,in.ter.'jek.ti.o:
Ioab,/jo.ab/,jo.ab
ioanne,/jo:.'an.ne:s/,jo:.'an.ne:
Ionathan,/'jo.na.ta:n/,'jo.na.ta:n
Ioseph,/jo:.'se:.fus/,jo:.'se:.f
Ismael,/'is.majl/,'is.majl
iuda,/ju:da:s/,ju:da
iuda,/ju:da:s/,ju:da
iudae,/ju:.'de:.us/,ju:.'de:
iuli,/'ju:.li.us/,'ju:.li
kalend,/ka.'len.de:/,ka.'len.d
kalend,/ka.'len.de:/,ka.'len.d
labor,/la.'bo:.rem/,la.'bo:.r
laic,/'la:.i.kus/,'la:.i.k
lamin,/'la:.mi.na/,'la:.mi.n
lart,/'la:r.tem/,'la:r.t
later,/'la.ter/,'la.ter
latin,/la.'ti:.na/,la.'ti:.n
latin,/la.'ti:.nus/,la.'ti:.n
latron,/la.'tro:.nem/,la.'tro:n
laurenti,/law.'ren.ti.um/,law.'ren.ti
lax,/'lak.sus/,'lak.s
leg,/'le.go:/,'le.g
legend,/le.'gen.dum/,le.'gen.d
legio,/'le.gi.o:/,'le.gi.o:
legio,/'le.gi.o:/,'le.gi.o:
leo,/'le.o:/,'le.o:
leviathan,/le.wi.'a:.tan/,le.wi.'a:.tan
Levit,/le:.wi:.te:s/,le:.wi:.t
liber,/'li.ber/,'li.ber
Liban,/'li.ba.nus/,'li.ba.n
lic,/'li.ket/,'li.k
lin,/'li:.num/,'li:.n
line,/'li:.ne.a/,'li:.ne
liquid,/'li.kwi.dus/,'li.kwi.d
lit,/'li:.tus/,'li:.t
litani,/li.'ta.ni.a/,li.'ta.ni
litter,/'lit.te.ra/,'lit.te.r
loc,/'lo.kus/,'lo.k
long,/'loŋ.ga/,'loŋ.g
loric,/lo:.'ri:.ka/,lo:.'ri:.k
luca,/'lu.kas/,'lu.ka
lucern,/lu:.'ker.na/,lu:.'ker.n
lucifer,/'lu:.ki.fer/,'lu:.ki.fer
lunar,/lu.'na:.ris/,lu.'na:.r
Maccabae,/mak.ka.'baj.us/,mak.ka.'be
macedoni,/ma.ke.'do.ni.a/,ma.ke.'do.ni
maceri,/ma.'ke.ri.a/,ma.'ke.ri
macul,/'ma.ku.la/,'ma.ku.l
magister,/ma.'gis.ter/,ma.'gis.ter
maldic,/mal.'di:.ko:/,mal.'di:.k
maldictio,/mal.'dik.ti.o:/,mal.'dik.ti.o:
manachi,/ma.na.'ki:.um/,ma.na.'ki:
manach,/'ma.na.kus/,'ma.na.k
manasse,/ma.'nas.se:s/,ma.'nas.se
mania,/'ma.ni.a/,'ma.nia
mann,/'man.na/,'man.n
mari,/ma.'ri:.a/,ma.'ri
marc,/'ma:r.kus/,'ma:r.k
Marcell,/ma:r.'kel.lus/,ma:r.'kel.l
Mardoche,/mar.'do.ke.us/,mar.'do.ke
margarit,/mar.ga.'ri:.ta/,mar.ga.'ri:.t
marmor,/'mar.mor/,'mar.mor
mart,/'ma:r.tis/,'ma:r.t
mart,/'mar.tis/,'mar.t
martyr,/'mar.tir/,'mar.tir
mascul,/'mas.ku.lus/,'mas.ku.l
masculin,/mas.ku.'li:.nus/,mas.ku.'li:.n
