Latin Stem Phonology,Irish Phonology,Latin Word,Latin Stem,Irish Word,Latin Word Phonology
ka.'pi.tu.l,/ˈkabʲ.dʲəl/,capitulum,capitul,caiptel,/ka.'pi.tu.lum/
'kap.tor,/ˈkax.tər/,captor,captor,cachtor,/'kap.tor/
kar.'buŋ.ku.l,/ˈkar.buŋ.kəlʲ/,carbunculus,carbuncul,carbuncail,/kar.'buŋ.ku.lus/
kar.'buŋ.ku.l,/ˈkar.ɱə.gəl/,carbunculus,carbuncul,carmocol,/kar.'buŋ.ku.lus/
'kar.ker,/ˈkar.kər/,carcer,carcer,carcar,/'kar.ker/
kar.'ta:.t,/ˈkar.to:dʲ/,*cartātem,cartat,cartóit,/kar.'ta:.tem/
'ka:.se.,/ˈka:.ʃe/,cāseus,case,cáise,/'ka:.se.us/
kas.'til.l,/ˈka.ʃəl/,*castillum,castill,caisel,/kas.'til.lum/
'ka.su.l,/ˈka.səl.de/,casula,casul,casal\dae,/'ka.su.la/
ka.te:.'ku:.me.n,/ˈkaθ.xəɱʲ.nʲəð/',catēchūmenus,catechumen,cathchoimn\id,/ka.te:.'ku:.me.nus/
'ka.te.dr,/ˈka.θaʲrʲ/,cathedra,cathedr,cathaír,/'ka.te.dra/
ka.'to.li.k,/ˈka.θləx/,catholicus,catholic,cathlach,/ka.'to.li.kus/
'ka.tu.l,/ˈka.tu.la:n/,Catulus,catul,Catulán,/'ka.tu.lus/
'kaw.s,/ˈkaus/,causa,caus,coäis,/'kaw.sa/
'ke.dr,/ˈkʲe.dərʲ/,cedrus,cedr,cedair,/'ke.drus/
'ke.le.br,/ˈkʲe.lʲə.vrəðʲ/,celebrō,celebr,ceilebr\aid,/'ke.le.bro:/
'ken.tr,/ˈkʲinʲ.tʲərʲ/,centrum,centr,cinteir,/'ken.trum/
'ke:.r,/ˈkʲe:rʲ/,cēra,cer,céir,/'ke:.ra/
'ker.t,/ˈkert/,certus,cert,cert,/'ker.tus/
ker.'wi:.kal,/ˈkʲer.xəLʲ/,cervīcal,cervical,cerchaill,/ker.'wi:.kal/
'ke:.s,/ˈkʲi:s/,*cēsus,ces,cís,/'ke:.sus/
kal.'de:.,/ˈkal.de.a/,Chaldaea,chaldae,Calldea,/kal.'de:.us/
kal.'de:.,/ˈkald/,Chaldaeus,chaldae,Cald,/kal.'de:.a/
'ka.na.a:n,/ˈka.Na:n/,Chanaān,chanaan,Cannán,/'ka.na.a:n/
'ka.na.a:n,/ˈka.Nan.de/,Chanaān,chanaan,cannan\dae,/'ka.na.a:n/
ka:.'rak.ter,/ˈka:.rəx.tər/,*chāracter,character,cárachtar,/ka:.'rak.ter/
'kar.t,/ˈkarʲtʲ/,charta,chart,cairt,/'kar.ta/
'ke.ru.bi:n,/ˈxʲe.ru.fʲi:n/,cherubīn,cherubin,Cherupín,/'ke.ru.bi:n/
'ke.ru.bi:n,/i.ru.fʲi:n/,cherubīn,cherubin,Iruphín,/'ke.ru.bi:n/
'kris.t,/ˈkʲrist/,Christus,christ,Críst,/'kris.tus/
kris.ti.'a:.n,/ˈkʲrʲe:.ʃən/,christiānus,christian,créisen,/kris.ti.'a:.nus/
'kiŋ.gl,/ˈkʲeŋ.gəl/,*cingla,cingl,cengal,/'kiŋ.gla/
'kip.p,/ˈkʲep/,cippus,cipp,cepp,/'kip.pus/
'kir.ku.l,/ˈkʲir.kul/,circulus,circul,circul,/'kir.ku.lus/
kir.kum.'flek.s,/ˈkʲir.kunʲ.fʲlʲəxs/,circumflexus,circumflex,circunflex,/kir.kum.'flek.sus/
'kis.t,/ˈkes/,cista,cist,ces,/'kis.ta/
'klas.s,/ˈklas/,classis,class,clas 2,/'klas.sis/
'klaw.su.l,/ˈklaw.sul/,clausula,clausul,clausul,/'klaw.su.la/
'kle:.r,/ˈkʲlʲe:r/,clērus,cler,clér,/'kle:.rus/
'kle:.ri.k,/ˈkʲlʲe:.rʲəx/,clēricus,cleric,cléirech,/'kle:.ri.kus/
ko.'ki:.n,/ˈku.gəN/,*cocīna,cocin,cucann,/ko.'ki:.na/
kok.'tu:.r,/ˈkux.tər/,coctūra,coctur,cuchtar,/kok.'tu:.ra/
'ko.hor.t,/ˈku:ərdʲ/,cohortem,cohort,cúaird,/'ko.hor.tem/
'kol.ki.,/ˈkol.xi.e/,Colchis,Colchi,colchiae,/'kol.kis/
'kol.ki.d,/ˈkol.xə.ðʲe/,Colchidem,Colchid,colche\de,/'kol.ki.dem/
ko.'lum.b,/ˈko.luɱ/,columba,columb,colum,/ko.'lum.ba/
ko.'lum.n,/ˈkol.ve/,columna,column,–colbae,/ko.'lum.na/
kom.'mu:.ni.o:,/ˈko.mən/,commūniō,communio,comman,/kom.'mu:.ni.o:/
kom.pa.ra:.'ti:.w,/ˈkom.pə.rədʲ/,comparātīuus,comparatiu,comparait,/kom.pa.ra:.'ti:.wus/
ko:n.'fes.si.o:,/ˈko.vəʃ/,cōnfessiō,confessio,cobais,/ko:n.'fes.si.o:/
ko:n.'fi.te.or,/ˈku.vʲə.dʲər/,cōnfiteor,confiteor,cuibiter,/ko:n.'fi.te.or/
ko:n.se.kr,/kon.ˈʃe.kra/,cōnsecrō,consecr,con·secra,/ko:n.se.kro:/
'ko:n.so.n,/ˈkon.sən/,cōnsonus,conson,consan,/'ko:n.so.nus/
ko:ns.tan.ti:.'no.po.l,/ˈkon.stənʲ.tʲə.nə.bəl/,Cōnstantīnopolis,constantinopol,Constantinopol,/ko:ns.tan.ti:.'no.po.lis/
'ko:n.sul,/ˈkon.səl/,cōnsul,consul,consal,/'ko:n.sul/
ko:n.sum.'ma:.ti.o:,/ˈkos.ɱəðʲ/,cōnsummātiō,consummatio,cosmaid,/ko:n.sum.'ma:.ti.o:/
kon.'ten.ti.o:,/ˈkon.tən/,contentiō,contentio,contan,/kon.'ten.ti.o:/
kon.'trak.t,/ˈkon.trəxt/,contractus,contract,contracht,/kon.'trak.tus/
ko.'rin.t,/ˈko.rʲənt/,Corinthus,corinth,Corint,/ko.'rin.tus/
kor.'ne:.li.,/ˈkor.nəlʲ/,Cornēlius,Corneli,Cornil,/kor.'ne:.li.us/
ko.'ro:.n,/ˈko.rəN/,corōna,coron,corann,/ko.'ro:.na/
'kor.pus,/ˈkorp/,corpus,corp,corp,/'kor.pus/
kre.'pus.ku.l,/ˈkrab.skulʲ/,crepusculum,crepuscul,crapscuil,/kre.'pus.ku.lum/
kre.'ter.r,/ˈkʲrʲe.θʲərʲ/,*creterra,creterr,creithir,/kre.'ter.ra/
'kro:.k,/ˈkro:x/,*crōcus,croc,cróch,/'kro:.kus/
'kro.ta.l,/ˈkro.θəl/,crotalum,crotal,crothal,/'kro.ta.lum/
kro.'ta.li.,/ˈkro.θlə/,crotalia,crotali,crothla,/kro.'ta.li.a/
'kru.k,/ˈkrox/,crucem,cruc,croch,/'kru.kem/
'kruks,/ˈkros/,crux,crux,cros,/'kruks/
'ku.b,/ˈku:.vəðʲ/,cubō,cub,cúb\aid,/'ku.bō/
'ku.b,/ˈkuv/,cubus,cub,cyb,/'ku.bus/
ku.'kul.l,/ˈko.xəL/,cucullus,cucull,cochall,/ku.'kul.lus/
'kul.ki.t,/ˈkol.kəðʲ/,culcita,culcit,colcaid,/'kul.ki.ta/
ku.'li:.n,/ˈku.lʲəN/,culīna,culin,*cuilenn,/ku.'li:.na/
'kul.tr,/ˈkol.tər/,cultrum,cultr,coltar,/'kul.trum/
'ku.me.r,/ˈko.ɱrər/,cumera,cumer,comrar,/'ku.me.ra/
'ku.ra:s.'a.go:,/ˈku:r.sə.ɣəðʲ/,curās agō,curas ag,cúrsag\aid,/'ku.ra:s.'a.go:/
'kur.t,/ˈkurʲtʲ/,curtis,curt,cuirt,/'kur.tis
kur.'ti:.n,/ˈkur.tʲi:.nəð/,curtīna,curtin,curtín\ad,/kur.'ti:.na/
'ki.kl,/ˈkʲi.kul/,cyclus,cycl,cicul,/'ki.klus/
ki.kla.si.a,/ˈkʲi.glə.ste/,Cyclasias,Cyclasia,ciclas\tae,/ki.kla.si.as/
'ki:.r,/ˈkʲer/,Cȳrus,cyr,Cer,/'ki:.rus/
'ki:.r,/ˈkʲi:r/,Cȳrus,cyr,Cír,/'ki:.rus/
'dak.ti.l,/ˈdax.təlʲ/,dactylus,dactyl,dactil,/'dak.ti.lus/
'de:.mon,/ˈdʲe.ɱən/,daemon,daemon,demon,/'de:.mon/
'dam.n,/ˈdaɱ.nəð/,damnō,damn,damn\ad,/'dam.no:/
dam.'na:.ti.o:,/ˈda.mənʲ/,damnātiō,damnatio,dammain,/dam.'na:.ti.o:/
'da.ni.e:l,/ˈda.nʲi.e:l/,Daniēl,daniel,Danïél,/'da.ni.e:l/
dar.'da:.n,/ˈdar.da:n.de/,Dardānus,Dardan,dardán\de,/dar.'da:.nus/
'da:.wi:d,/ˈdaw.iðʲ/,Dāuīd,Dauid,Dauid,/'da:.wi:d/
de.'ka:.d,/ˈdʲe.kəðʲ/,decādem,decad,deccaid,/de.'ka:.dem/
de:.'na:.ri.,/ˈdʲi:r.ne/,dīnārius,dinari,dírnae,/de:.'na:.ri.us/
de:.pre.'ka:.ti.o:,/ˈdʲe.bʲrʲə.go:dʲ/,dēprecātiō,deprecatio,deiprecóit,/de:.pre.'ka:.ti.o:/
der.'be:n.s,/ˈdʲer.bən.ste/,derbēnsis,derbens,derbens\dae,/der.'be:n.sis/
dew.te.ro.'no.mi.,/ˈdʲew.tər.nəɱʲ/,deuteronomium,deuteronomi,deutornim,/dew.te.ro.'no.mi.um/
di.'a.bo.l,/ˈdʲiə.vul/',diabolos,diabol,díabul,/di.'a.bo.lus/
di.'a:.ko.n,/ˈdʲe.xən/,diāconus,diacon,dechon,/di.'a:.ko.nus/
