Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology,,,,,,,
crothal,/'kro.θəl/,crotalum,crotal,/'kro.ta.lum/,,,,,,,
crothla,/'kro.θlə/,crotalia,crotal,/kro.'ta.li.a/,,,,,,,
cruimther,/'kruɱʲ.θʲər/,*premiter,premiter,/'pre.mi.ter/,,,,,,,
cúaird,/'ku:ərdʲ/,cohors,cohors,/'ko.hors/,,,,,,,
cúan,/'kuən/,pugnus,pugn,/'puŋ.nus/,,,,,,,
cúb\aid,/'ku:.vəðʲ/,cubō,cub,/'ku.bō/,,,,,,,
cucann,/'ku.gəN/,*cocīna,cocin,/ko.'ki:.na/,,,,,,,
cuchtar,/'kux.tər/,coctūra,coct,/kok.'tu:.ra/,,,,,,,
cuibiter,/'ku.vʲə.dʲər/,cōnfiteor,confit,/ko:n.'fi.te.or/,,,,,,,
cuilche,/'kulʲ.xʲe/,*pelicius,pelic,/pe.'li.ki.a/,,,,,,,
cuirt,/'kurʲtʲ/,curtis,curt,/'kur.tis,,,,,,,
cuithe,/'ku.θʲe/,puteus,pute,/'pu.te.us/,,,,,,,
cúrsag\aid,/'ku:r.sə.ɣəðʲ/,curās agō,cur ag,/'ku.ra:s/+/'a.go:/,,,,,,,
curtín\ad,/'kur.tʲi:.nəð/,curtīna,curtina,/kur.'ti:.na/,,,,,,,
cyb,/'kuv/,cubus,cub,/'ku.bus/,,,,,,,
dactil,/'dax.təlʲ/,dactylus,dactil,/'dak.ti.lus/,,,,,,,
dammain,/'da.mənʲ/,damnātiō,damnatio,/dam.'na:.ti.o:/,,,,,,,
damn\ad,/'daɱ.nəð/,damnō,damn,/'dam.no:/,,,,,,,
Danïél,/'da.nʲi.e:l/,Daniēl,daniel,/'da.ni.e:l/,,,,,,,
dardán\de,/'dar.da:n.de/,Dardānus,Dardanus,/dar.'da:.nus/,,,,,,,
dasian,/'da.ʃi.an/,?,,,,,
Dauid,/'daw.iðʲ/,Dāuīd,/'da:.wi:d/,,,,
deccaid,/'dʲe.kəðʲ/,decās,decas,/'de.ka:s/,,,,,,,
dechon,/'dʲe.xən/,diāconus,diacon,/di.'a:.ko.nus/,,,,,,,
dechtaid,/'dʲex.təðʲ/,dictō,dict,/dik.to:/,,,,,,,
deiprecóit,/'dʲe.bʲrʲə.go:dʲ/,dēprecātiō,deprecatio,/de:.pre.'ka:.ti.o:/,,,,,,,
demon,/'dʲe.ɱən/,daemon,daemon,/'daj.mon/,,,,,,,
derbens\dae,/'dʲer.bən.ste/,derbēnsis,derbensis,/der.'bēn.sis/,,,,,,,
descipul,/'dʲe.ʃkʲə.bul/',discipulus,discipul,/dis.'ki.pu.lus/,,,,,,,
deutornim,/'dʲew.tər.nəɱʲ/,deuteronomium,deuteronomi,/dew.te.ro.'no.mi.um/,,,,,,,
díabul,/'dʲiə.vul/',diabolos,diabol,/di.'a.bo.lus/,,,,,,,
díaithir,/'dʲiə.θʲərʲ/',diameter,diameter,/di.'a.me.ter/,,,,,,,
dialectaicc,/'dʲiə.lʲex.təkʲ/',dialectica,dialectic,/di.a.'lek.ti.ka/,,,,,,,
